"___ ? there is medication for that, you know.",69
___ is a slippery slope that leads to ___.,420
___ It's a trap!,...it is unclear.
___ really helped my dad through his midlife crises.,…then the penis is inserted into the vagina.
___ will finally put an end to racism.,"""Hello Mister!"""
____ - thats how I want to die.,"""I want to do it by myseeeeeeelf!"""
____ (ing) That's how I want to climax!,"""Jerk him, Tahiti!

Jerk him off"""
____ + ____ = ____.,"""Partners!

I must have Partners!"""
____ always makes me cry.,"""Stop playing with your penis!"""
____ always makes me throw up.,"""Trump Nude"" internet searches."
____ is my guilty sexual pleasure.,"""Tweeting."""
____ is on the agenda after we finish this fuckin' game.,"""Worshipping"" the saints."
____ me on my ____ with ____.,“Accidentally” sticking your finger in your ass while wiping.
____ me with ____.,“Christian Domestic Discipline 101” from Amazon.com.*
____ will always put me in the mood.,"“Exiting, pursued by a bear.”"
____ will intensify my orgasm.,“I'm off my meds so I may be a bit weird.”
____ will make you sweaty and stinky.,“Intimacy issues.”
_____ 2: Electric Boogaloo,"“Knock Knock, Motherfucker.”"
_____ happens because I touch myself at night.,"“Oh dear God, coffee!”"
"_____ is many things to many people, as you will see and learn.",“Platonic” cuddle buddies.
"_____ IS NOT A WEDDING THEME, CHAD!",“Somebody That I Used To Know” covered by Sting.
_____ is the one thing I can't live without.,"“Too much bush,” whatever that is."
_____ is way better in virtual reality.,"“Useless, yerk-toting, Frisbee-chucking cheeba-monkeys”"
_____ Spice was one of the lesser-known Spice Girls.,“Vegan-leather” bondage gear.
______ ______ go away. Come back another day.,“Working” from home.
______ + ______ = ______.,(1/2 * your age) + 7
______ + ______ = Hipsters,(An) eggplant emoji.
______ + ______ = Hot new knitting trend.,(I am doing Kegels right now.)
______ a day keeps the ______ away.,(Sleeping Beauty's curse) A magical prick
______ a day keeps the doctor away.,(wub)(wub)(wub)
"______ always help(s) ""Insert Name"" relax.",[Chewbacca Noise].
"______ always helps ""Insert Name"" prepare for a big exam.",[Player to your left]'s reproductive organ.
"______ always make(s) ""Insert Name"" cry for hours.",/Piss Christ/.
"______ always reminds ""Insert Name"" of fun times with his/her grandma.",#Awesome
"______ always starts out fun until ""Insert Name"" gets involved.",#blackfridaymatters
______ and ______ = heaven on Earth,#BlackLivesMatter movement.
______ and ______ are a love story for the ages!,#BlackLivesMatter rally.
"______ and ______ inevitably lead to the phrase ""Happiness is secured.""",#BlackLivesMatter.
______ and ______ make for the best family vacations.,#diaperfail
______ and ______ make the USMC the most homophobic AND homoerotic service branch.,#fearvokallchicks.
______ and _______ make an unbeatable romantic combination.,#Hashtag
